-4.45,-0.2170,0.0250,0.0209
-3.90,-0.1886,0.0214,0.0190
-3.45,-0.1655,0.0188,0.0170
-2.88,-0.1356,0.0164,0.0157
-2.40,-0.1126,0.0151,0.0132
-1.88,-0.0857,0.0137,0.0116
-1.37,-0.0609,0.0129,0.0094
-0.81,-0.0362,0.0128,0.0075
-0.30,-0.0131,0.0126,0.0055
-0.29,-0.0125,0.0127,0.0059
0.22,0.0105,0.0126,0.0039
0.80,0.0374,0.0133,0.0015
1.27,0.0586,0.0139,-0.0002
1.81,0.0858,0.0147,-0.0023
2.28,0.1112,0.0161,-0.0046
2.81,0.1414,0.0179,-0.0065
3.33,0.1685,0.0201,-0.0083
3.89,0.1981,0.0228,-0.0104
4.87,0.2504,0.0293,-0.0141
5.98,0.3132,0.0393,-0.0188
7.97,0.4235,0.0626,-0.0270
8.03,0.4266,0.0632,-0.0276
10.08,0.5378,0.0955,-0.0319
12.17,0.6389,0.1347,-0.0331
14.24,0.7328,0.1804,-0.0345
16.36,0.8443,0.2388,-0.0416
16.38,0.8459,0.2395,-0.0415
18.48,0.9460,0.3043,-0.0498
20.61,1.0457,0.3779,-0.0606
