"r","b_D"
0.201073,0.1000463
0.246313,0.0967618
0.294608,0.0933812
0.32744,0.0910571
0.369244,0.0882334
0.420974,0.0847759
0.464114,0.0819714
0.498092,0.0796855
0.538369,0.0769579
0.574828,0.0745376
0.625031,0.0710226
0.6613,0.0684871
0.698714,0.065798
0.731164,0.0635891
0.774877,0.0605926
0.8121,0.0581723
0.832716,0.0568084
0.852377,0.0554639
0.871465,0.0541577
0.888645,0.0529092
0.907543,0.0513727
0.922624,0.0500859
0.93465,0.048876
0.945722,0.0475702
0.954122,0.0464949
0.960995,0.0453621
0.96634,0.0444788
0.97035,0.0434613
0.973596,0.0422326
